Name,Location,Description,Accelerator,Batch,Status
ExpentInc,"Fremont,CA,USA",Procure the right software 5x faster,Y Combinator,W21,
Faction,"SouthSanFrancisco,CA,USA",Driverless electric vehicles at a fraction of the cost of a car.,Y Combinator,W21,
Remix,"PaloAlto,CA,USA",Host and attend virtual events from your phone!,Y Combinator,W21,
YourQuote,"Bengaluru,Karnataka,India",YourQuote is India's largest writing platform,Y Combinator,W21,
Terapify,"Guadalajara,Jalisco,Mexico",Online therapy platform for the Spanish-speaking market,Y Combinator,W21,
Cyble,"Atlanta,GA,USA",Cyble empowers organizations with darkweb & cybercrime monitoring.,Y Combinator,W21,
Noya,"SanFrancisco,CA,USA",Radically reducing capital costs and build time for direct air capture,Y Combinator,W21,
AxleHealth,"LosAngeles,CA,USA",In-home Healthcare as a Service,Y Combinator,W21,
HyperGlue,"SanFranciscoBayArea,CA,USA",Business intelligence on text,Y Combinator,W21,
GradiaHealth,"SanFrancisco,CA,USA","Integrated, high touch healthcare — at scale",Y Combinator,W21,
Sivo,"SanFrancisco,CA,USA",Debt as a service for companies to lend money to their users at scale.,Y Combinator,W21,
ChargeRunning,"Chicago,IL,USA","Provides live, virtual running classes to runners all around the world",Y Combinator,W21,
Flok,"NewYork,NY,USA",End to end company retreat planning,Y Combinator,W21,
Prequel,"NewYork,NY,USA",Data infrastructure company,Y Combinator,W21,
Avenue,"NewYork,NY,USA",Observability platform for operations teams,Y Combinator,W21,
LiliumX,"London,UK",We discover new bispecific antibodies against cancer,Y Combinator,W21,
Finary,"NewYork,NY,USA",Messaging platform for investors.,Y Combinator,W21,
ClipDrop,"Paris,France",Turn regular mobile photos into professional product visuals,Y Combinator,W21,
Fractional,"SanFrancisco,CA,USA",Social platform for fractional ownership of investment properties.,Y Combinator,W21,
PingPong,"Orem,UT,USA",Video messaging app for remote teams.,Y Combinator,W21,
CashBook,Unkown,Cash Accounting App for Small Businesses in India,Y Combinator,W21,
Encord,"London,UK",The platform for data-centric computer vision,Y Combinator,W21,
Segments.ai,"Brussels,Belgium",Build better computer vision models by building better datasets,Y Combinator,W21,
Axiom.ai,"London,UK",No-code Browser RPA,Y Combinator,W21,
Tachyon,"MountainView,CA,USA",APIs making big data transfer a breeze,Y Combinator,W21,
PragmaticLeaders,"Gurugram,Haryana,India","Better, faster and cost-effective alternative to MBA - free till hired",Y Combinator,W21,
PingLend,"SanFrancisco,CA,USA",NA,Y Combinator,W21,
Smartcuts,"NewYork,NY,USA",Chrome extension to turn clicks & keystrokes into no-code automations,Y Combinator,W21,
Weekday,"Bengaluru,Karnataka,India",Hire engineers vouched by other techies,Y Combinator,W21,
BeWellDigital,"Coimbatore,TamilNadu,India",Inclusive and quality healthcare for all,Y Combinator,W21,
Instamenu,"Austin,TX,USA",Web3 Square,Y Combinator,W21,
Ennerate,"SanFrancisco,CA,USA",Automating business valuations catered to SMBs,Y Combinator,W21,
Fountain9,"Mumbai,Maharashtra,India",Helping food brands and retailers reduce food wastage,Y Combinator,W21,
"SpruceSystems,Inc.","NewYork,NY,USA",Spruce lets users control their data across the web.,Y Combinator,W21,
GoBuild(fkaBrick),"Oakland,CA,USA",The payments solution for small scale construction.  ,Y Combinator,W21,
Clay,Unkown,Figma for 3D design,Y Combinator,W21,
CoVerified,"Cambridge,MA,USA",Using infection data to keep organizations safe,Y Combinator,W21,
Krab,"Hyderabad,Telangana,India",Instant loans for trucking companies in India,Y Combinator,W21,
FluxAuto,"Bengaluru,Karnataka,India",Autonomous Lift Trucks for Warehouses,Y Combinator,W21,
Wyndly,"NewYork,NY,USA",Fixing allergies from home,Y Combinator,W21,
Curvenote,"Calgary,AB,Canada",Google Docs for scientists and engineers,Y Combinator,W21,
JoinSub,"PaloAlto,CA,USA",India's first aggregator and provider of local business subscriptions,Y Combinator,W21,
AspenCloud,Unkown,Use web apps without opening a browser,Y Combinator,W21,
Bluelight,"SanFrancisco,CA,USA",Bluelight is a financial data and analytics company.  ,Y Combinator,W21,
"GeraldTechnologies,Inc","NewYork,NY,USA",Autopay household bills without fear of overdraft or late fees,Y Combinator,W21,
Queenly,"SanFrancisco,CA,USA",Leading marketplace for formalwear,Y Combinator,W21,
Moichor,"SanFrancisco,CA,USA",Automated complete blood counts for vet clinics,Y Combinator,W21,
Nourish,"SanFrancisco,CA,USA","Telenutrition therapy from a registered dietitian, paid via insurance",Y Combinator,W21,
Debrief,"SanFrancisco,CA,USA","Organize, transcribe, collaborate and share recordings.",Y Combinator,W21,
Furmacy,"ElDoradoHills,CA,USA",PillPack for Pets,Y Combinator,W21,
LionPose,"SanFrancisco,CA,USA",Clean and clinical skincare for people of color,Y Combinator,W21,
Pibit.ai,"Gurugram,Haryana,India",Unlock the Insightful Information from unstructured data,Y Combinator,W21,
GroMo,"Gurugram,Haryana,India",App for independent agents to sell Insurance in India,Y Combinator,W21,
ModernLoop,"SanMateo,CA,USA",ModernLoop helps teams automate and streamline recruiting operations,Y Combinator,W21,
Zerobroker,"SanFrancisco,CA,USA",Broker-free shipping platform for businesses.,Y Combinator,W21,
GigsLive,"NewYork,NY,USA",Video publishing and monetization platform for creators and artists,Y Combinator,W21,
Pensil,"Gurugram,Haryana,India",We help YouTube teachers in India monetize their courses,Y Combinator,W21,
SigNoz,"Bengaluru,Karnataka,India",Open source alternative to DataDog ,Y Combinator,W21,
PowerRouter,"Austin,TX,USA",PowerRouter helps sales teams with lead routing in Salesforce,Y Combinator,W21,
Stacksi,"LosAngeles,CA,USA",Automated Answers to Security Questionnaires,Y Combinator,W21,
Hapi,"SanFrancisco,CA,USA",Stock trading app with zero commission and no minimums for Latam,Y Combinator,W21,
Finley,"SanFrancisco,CA,USA",Streamline your debt capital raise and management,Y Combinator,W21,
Spokn,"NewYork,NY,USA",Podcasting platform for work,Y Combinator,W21,
Marketbase,UnitedStates,Powering the next generation of marketplaces,Y Combinator,W21,
SBXRobotics,"Toronto,ON,Canada",Synthetic data for robot vision.,Y Combinator,W21,
MedMeHealth,"Toronto,ON,Canada",Software for pharmacies to move beyond dispensing,Y Combinator,W21,
Taloflow,"SantaMonica,CA,USA",Collaborative Notebooks for Choosing the Right Cloud/IaaS/PaaS Vendors,Y Combinator,W21,
QuadrantEye,"SanFrancisco,CA,USA",Enabling at-home eyecare. ,Y Combinator,W21,
Snazzy,"Hyderabad,Telangana,India",Making clear aligners accessible and affordable in India,Y Combinator,W21,
Lygg,"PaloAlto,CA,USA",Building New Sunscreen Ingredients With Lignin,Y Combinator,W21,
AustinSoftware,"Austin,TX,USA",We help US tech companies hire and manage software engineers in LATAM,Y Combinator,W21,
DreamWorld,"SanFrancisco,CA,USA",The game where everyone creates together,Y Combinator,W21,
Playmaker,"Copenhagen,Denmark",Community for fantasy sports players,Y Combinator,W21,
Albedo,"Austin,TX,USA",Capturing the highest resolution satellite imagery,Y Combinator,W21,
Humaans,"London,UK",The fastest way to onboard and manage employees,Y Combinator,W21,
authzed,"NewYork,NY,USA",The database for application permissions,Y Combinator,W21,
AlbaOrbital,"Glasgow,UK","We make satellites to image everywhere on Earth, every 15 minutes",Y Combinator,W21,
AtomicIndustries,"LosAngeles,CA,USA",Automating the tool and die industry,Y Combinator,W21,
oxio,"QuebecCity,QC,Canada",building the first global digital ISP,Y Combinator,W21,
TheThirdPlace,"SanFrancisco,CA,USA",Subscriptions for neighborhood businesses ,Y Combinator,W21,
TrestleBiotherapeutics,"SanDiego,CA,USA",Bioengineered kidneys for patients with kidney failure,Y Combinator,W21,
Bristle,"SanFrancisco,CA,USA",Reinventing oral health & care,Y Combinator,W21,
cloudhumans,"SãoPaulo,StateofSãoPaulo,Brazil",More sales & cx productivity via tech-enhanced freelancers,Y Combinator,W21,
Neverland,"SanFrancisco,CA,USA",The first online home garden and lawn marketplace  ,Y Combinator,W21,
Runway,"NewYork,NY,USA",Easier and more reliable mobile app releases for teams.,Y Combinator,W21,
Atrato,"MexicoCity,CDMX,Mexico",We let consumers split the cost of purchases without a credit card,Y Combinator,W21,
Abacum,"NewYork,NY,USA",Helping Finance teams be 10x faster,Y Combinator,W21,
Lovd,"NewYork,NY,USA","It's not used, it's Lovd.",Y Combinator,W21,
Gonddo,"SãoPaulo,StateofSãoPaulo,Brazil",Wholesale marketplace for independent retailers buy & manage inventory,Y Combinator,W21,
Webiny,"London,UK",Open-source framework for building serverless applications,Y Combinator,W21,
DegreesofFreedom,"Marlboro,VT,USA","DoF provides a high quality, affordable higher education alternative.",Y Combinator,W21,
Trendpop,"SanFrancisco,CA,USA",We help brands go viral on social media. ,Y Combinator,W21,
PryFinancials,"SanFrancisco,CA,USA",Finance for Founders,Y Combinator,W21,
OctiFi,"20PioneerCres,Singapore628555",Buy Now Pay Later for Southeast Asia,Y Combinator,W21,
Taste,"NewYork,NY,USA",Online marketplace for dinners shipped from great restaurants,Y Combinator,W21,
Invoid,"Gurugram,Haryana,India",Create identity verification workflows the way you want,Y Combinator,W21,
noHQ,"NewYork,NY,USA",International contractor and multi country payroll  ,Y Combinator,W21,
Observa,Unkown,Catch accidental database exposures before the bad guys,Y Combinator,W21,
Unfurl,"SanFrancisco,CA,USA",A virtual food hall that delivers,Y Combinator,W21,
PardesBiosciences,"SanFrancisco,CA,USA",We break viruses,Y Combinator,S20,
Zip,"SanFrancisco,CA,USA",The future of B2B spend,Y Combinator,S20,
AtoB,"SanFrancisco,CA,USA",Rebuilding global transportation payments.,Y Combinator,S20,
Jeeves,"NewYork,NY,USA",International banking infrastructure for global startups.,Y Combinator,S20,
Spenmo,Singapore,Manage all business payables in one dashboard,Y Combinator,S20,
Pave,"SanFrancisco,CA,USA","Plan, communicate, and benchmark your compensation in real-time.",Y Combinator,S20,
BukuWarung,"Jakarta,Indonesia",Accounting & Payments app for 60M micro-businesses in Indonesia,Y Combinator,S20,
Roboflow,"DesMoines,IA,USA",Give your software the sense of sight.,Y Combinator,S20,
Depict,"Stockholm,Sweden",Amazon-quality product recommendations for any e-commerce store,Y Combinator,S20,
Supabase,Unkown,Build in a weekend. Scale to billions.,Y Combinator,S20,
Recurrency,"LosAngeles,CA,USA",Automated ERP for distributors.,Y Combinator,S20,
Brevy,Unkown,Collaboration tools built from the ground up for remote product teams.,Y Combinator,S20,
GilgameshPharmaceuticals,"NewYork,NY,USA",Novel Psychedelic-Inspired Therapeutics For Treating Mental Illness,Y Combinator,S20,
Matter,"SanFrancisco,CA,USA",Building the future of reading,Y Combinator,S20,
CapWay,"Atlanta,GA,USA",Inclusive financial technology service provider.,Y Combinator,S20,
Toolbox,"NewYork,NY,USA",Financial operating system for construction & service contractors,Y Combinator,S20,
Verifiable,"SanFrancisco,CA,USA",API for healthcare compliance ,Y Combinator,S20,
SiPhox,"Burlington,MA,USA",Wearable and At-Home protein monitoring with silicon photonic chips,Y Combinator,S20,
Atmos,"SanFrancisco,CA,USA","The entire homebuilding process, all online",Y Combinator,S20,
RevelTechnologies,"SanLeandro,CA,USA",Making a better caffeine,Y Combinator,S20,
FutureFields,"Edmonton,AB,Canada",We make the world's most sustainable recombinant proteins ,Y Combinator,S20,
TodosComemos,"Bogota,Colombia",TodosComemos is the first ready-to-cook meal kit delivery service in…,Y Combinator,S20,
Quell,"London,UK",Get fit fighting your way through a fantasy world.,Y Combinator,S20,
Flat,"MexicoCity,CDMX,Mexico","We’re the Opendoor of Mexico. We buy homes with an instant offer, fix…",Y Combinator,S20,
Hubla,"BeloHorizonte-StateofMinasGerais,Brazil",The platform to create an online coaching business,Y Combinator,S20,
HeronData,"London,UK",We score companies using their financial data,Y Combinator,S20,
Fieldguide,"SanFrancisco,CA,USA",Automation & Collaboration Software for Audit & Advisory Firms,Y Combinator,S20,
Finch,"SanFrancisco,CA,USA",Finch is the universal API for payroll and HR,Y Combinator,S20,
Hellosaurus,"NewYork,NY,USA",Interactive video platform for kids,Y Combinator,S20,
Parade,"Seattle,WA,USA",Launch your company without hiring a designer,Y Combinator,S20,
ParrotSoftware🦜,"Monterrey,NuevoLeon,Mexico",The operating system for restaurants in LatAm.,Y Combinator,S20,
Zuddl,"Hyderabad,Telangana,India",Zuddl helps large organisations host conferences online,Y Combinator,S20,
Clover,"NewYork,USA","The all-in-one notebook for creatives to brainstorm, write, and plan…",Y Combinator,S20,
Inspectify,"Seattle,WA,USA","Home Inspections, Simplified",Y Combinator,S20,
Sonar,"SanFrancisco,CA,USA",Minecraft meets Discord,Y Combinator,S20,
Reflect,"Villanova,PA,USA",No-code test automation for web apps,Y Combinator,S20,
Once,"Paris,France",Mobile optimized storefronts for Shopify,Y Combinator,S20,
Riogrande,"MexicoCity,CDMX,Mexico",We buy and grow D2C brands in LatAm,Y Combinator,S20,
Artifact,"SanFrancisco,CA,USA",Personal podcasts with the people in your life,Y Combinator,S20,
MozartData,"SanFrancisco,CA,USA",The easiest way to set up a modern data stack,Y Combinator,S20,
Rally,"Toronto,ON,Canada",Rally is Zoom for social events,Y Combinator,S20,
Byte,"Lahore,Punjab,Pakistan",On-demand food delivery from dark kitchens in Pakistan.,Y Combinator,S20,
"Warmly,","Denver,CO,USA",See helpful context and info on prospects you're meeting with on Zoom,Y Combinator,S20,
Glimpse,"NewYork,NY,USA",Platform for brands to place their products in short-term rentals,Y Combinator,S20,
inSomaBio,"Durham,NC,USA",Helping Plastic Surgeons Rebuild Fat,Y Combinator,S20,
VenaVitals,"Irvine,CA,USA",A small sticker that monitors blood pressure continuously,Y Combinator,S20,
MilkRun,"Portland,OR,USA","Get Food From Farmers, Delivered.",Y Combinator,S20,
"MedPiperTechnologies,Inc","Bengaluru,Karnataka,India",'Link-in-bio' tool for health influencers,Y Combinator,S20,
Lume,"NewYork,NY,USA",Better banking for nurses.,Y Combinator,S20,
Here,"NewYork,NY,USA",Hang out together online,Y Combinator,S20,
Lendtable,"SanFrancisco,CA,USA",We give employees cash advances for their 401k match and ESPP,Y Combinator,S20,
Afriex,"SanFrancisco,CA,USA",Stablecoin remittances,Y Combinator,S20,
Backlot,"LosAngeles,CA,USA",The collaborative 3D design tool for filmmakers,Y Combinator,S20,
SafeBase,"SanFrancisco,CA,USA",The Interactive Security Portal for Sharing Your Security Program,Y Combinator,S20,
DraftWise,"NewYork,NY,USA",Draft and negotiate contracts wiser.,Y Combinator,S20,
Taktile,"Berlin,Germany",Using ML to solve business problems in the financial services industry,Y Combinator,S20,
Ready,"SanFrancisco,CA,USA",Software that helps ISPs connect more people to better broadband.,Y Combinator,S20,
Letter,"SanDiego,CA,USA",Beautifully designed banking for high net-worth individuals.,Y Combinator,S20,
SockSoho,"SanFrancisco,CA,USA",Building world's largest men fashion brand powered by technology,Y Combinator,S20,
CarbonChain,"London,UK",We help companies automate the accounting of their carbon emissions,Y Combinator,S20,
arketa,"LosAngeles,CA,USA",Everything for your fitness or wellness business.,Y Combinator,S20,
Henry,"BuenosAires,Argentina",We train the best software engineers in Latam  ,Y Combinator,S20,
Laylo,"Venice,LosAngeles,CA,USA",Salesforce for content creators,Y Combinator,S20,
OrangeHealth,"Bengaluru,Karnataka,India",India's Fastest Diagnostics Service,Y Combinator,S20,
Formal,"NewYork,NY,USA",We are still in stealth mode,Y Combinator,S20,
Awtomic,"Seattle,WA,USA",Dollar Shave Club as a platform. ,Y Combinator,S20,
Akiflow,"Padua,ProvinceofPadua,Italy",All your tasks and calendars into one blazingly fast app,Y Combinator,S20,
Dataland,"NewYork,NY,USA",Command your entire business from one app,Y Combinator,S20,
PANADATA,"CityofKnowledge,PanamaCity,Panama",We run background checks on businesses using data from public records…,Y Combinator,S20,
Cohere,"NewYork,NY,USA",The easiest way to support and onboard your users,Y Combinator,S20,
Minimum,"London,UK",Helping corporates achieve Net Zero through tech solutions. ,Y Combinator,S20,
Farel,"SanFrancisco,CA,USA",The Operating system for next generation airlines,Y Combinator,S20,
Hotplate,"Austin,TX,USA",Online ordering platform for independent chefs  ,Y Combinator,S20,
Linen,"NewYork,NY,USA",Linen - Make your Slack community Google-searchable,Y Combinator,S20,
Skio,"NewYork,NY,USA",Subscriptions for Shopify,Y Combinator,S20,
Virtually,"NewYork,NY,USA",Learner Analytics and Automations for Online Schools,Y Combinator,S20,
Scrimba,"Oslo,Norway",We turn people into hireable devs at 1% of the price of code bootcamps,Y Combinator,S20,
TyltGO,"Kitchener,ON,Canada",TyltGO powers retailers with same-day delivery.,Y Combinator,S20,
Flint,"SanFrancisco,CA,USA",Securing Nurses for Your Future,Y Combinator,S20,
Liyfe,"NewHaven,CT,USA",Digital nurse to automate symptom and risk assessment--oncology & NASH,Y Combinator,S20,
KingdomSupercultures,"NewYork,NY,USA",New foods with microbes,Y Combinator,S20,
Tella,"Amsterdam,Netherlands",Video recording for work,Y Combinator,S20,
Mozper,"MexicoCity,CDMX,Mexico",A debit card and app designed for kids and parents in Latin America,Y Combinator,S20,
Memberstack,"Williamsburg,VA,USA",Add user accounts and payments to any website with one line of code,Y Combinator,S20,
Mailwarm,"Paris,France",Prevents marketing emails from landing in spam.,Y Combinator,S20,
AquariumLearning,"SanFrancisco,CA,USA",We help ML teams improve their models by improving their datasets,Y Combinator,S20,
Jam.gg(formerlyPiepacker),"SanFrancisco,CA,USA","Jam.gg, play couch games online with friends",Y Combinator,S20,
Notabene,"NewYork,NY,USA",Software to manage risk in crypto transactions,Y Combinator,S20,
Decentro,"Bengaluru,Karnataka,India",API platform for banking integrations (BaaS for India and APAC),Y Combinator,S20,
Bikayi,"Bengaluru,Karnataka,India",Shopify for India,Y Combinator,S20,
Tydo,"LosAngeles,CA,USA",Performance analytics for today's DTC brands,Y Combinator,S20,
WareIQ,"Bengaluru,Karnataka,India",Amazon-like next day delivery for eCommerce companies in India,Y Combinator,S20,
Plerk,"Guadalajara,Jalisco,Mexico","Fintech solutions for employees, starting with perks and benefits",Y Combinator,S20,
HyperOnline,"SanFrancisco,CA,USA",Metaverse social network & mobile avatar motion capture suite.,Y Combinator,S20,
NablaBio,"Boston,MA,USA",Antibody drugs that are more likely to get approved,Y Combinator,S20,
Balance,"SanFrancisco,CA,USA",The first B2B Checkout Platform,Y Combinator,S20,
VitableHealth,"Philadelphia,PA,USA",Affordable primary and urgent care health coverage,Y Combinator,S20,
Batch,"Portland,OR,USA",Next-gen APM data observability platform,Y Combinator,S20,
Oico,"SãoPaulo,StateofSãoPaulo,Brazil",B2B marketplace for construction material in Brazil.,Y Combinator,S20,
Statiq.,"Gurugram,Haryana,India",India's Largest EV charging network,Y Combinator,S20,
NexteraRobotics,"Boston,MA,USA",Industrial Robotics and AI,Y Combinator,S20,
Justo,"Providencia,SantiagoMetropolitanRegion,Chile",Helps restaurants take online orders directly from customers,Y Combinator,S20,
Hellometer,"LosAngeles,CA,USA",Making fast food faster,Y Combinator,S20,
Stacker,"London,UK",Turns spreadsheets into internal apps and customer portals,Y Combinator,S20,
Tappity,"PaloAlto,CA,USA",World's largest library of interactive lessons for kids,Y Combinator,S20,
buildspace,"SanFrancisco,CA,USA",The world’s largest network of web3 builders.,Y Combinator,S20,
Yotta,"NewYork,NY,USA",Save money and win prizes up to ,Y Combinator,10mthroughweeklynumberdraws.,
Mesh,"SanJose,CA,USA",Performance management platform that fits the way you work,Y Combinator,S20,
DaybreakHealth,"SanFrancisco,CA,USA",The first digital mental health system for youth,Y Combinator,S20,
Biocogniv,"Burlington,VT,USA",NA,Y Combinator,S20,
Osmind,"SanFrancisco,CA,USA",Advancing mental health interventions through EHR software & research,Y Combinator,S20,
MarketForce,"Nairobi,Kenya",The operating system for informal merchants in Africa. ,Y Combinator,S20,
Atomic,"SanFrancisco,CA,USA",API that lets companies embed investment accounts into their services,Y Combinator,S20,
Bits,"London,UK",Bits is a digital store card that helps people build credit ,Y Combinator,S20,
Opvia,"London,UK",The modern workspace for teams running quality-managed processes,Y Combinator,S20,
webapp.io,"Toronto,ON,Canada",Speed up e2e testing and code reviews with full-stack review envs,Y Combinator,S20,
doola,"NewYork,NY,USA","Business-in-a-Box"" for online creators",Y Combinator,S20,
BLISSWAY,"Denver,CO,USA",Solving Highway Congestion,Y Combinator,S20,
Workbase,"SanFrancisco,CA,USA",Data & workflow platform for B2B account teams,Y Combinator,S20,
ClearMix,"NewYork,NY,USA","On-Demand, Fully-Remote Marketing and Sales Video Production Platform",Y Combinator,S20,
Cradle,"Bengaluru,Karnataka,India",B2B payments network in India,Y Combinator,S20,
Arist,"Boston,MA,USA",Workforce training via text message,Y Combinator,S20,
TANGObuilder,"SanFrancisco,CA,USA",TANGObuilder automates structural engineers jobs.  ,Y Combinator,S20,
Foreword,"SanFrancisco,CA,USA","A marketplace for live, online workshops for professionals",Y Combinator,S20,
Humanloop,"London,UK",Train and Deploy NLP with 10x less data,Y Combinator,S20,
"Swifteam,Inc.","SantaClara,CA,USA",Device and Inventory management for remote teams,Y Combinator,S20,
Speedscale,"Atlanta,GA,USA",Accelerate development by simulating API's with production traffic.,Y Combinator,S20,
CoreCare,"NewYork,NY,USA",Making it easy for healthcare providers to collect payments using…,Y Combinator,S20,
FarmakoHealthcare,"Gurugram,Haryana,India",The simplest way to keep health records | 30 minute Medicine delivery ,Y Combinator,S20,
Enombic,"SanFrancisco,CA,USA","Create, share and invest in custom stock indexes",Y Combinator,S20,
Synapticure,"Chicago,IL,USA",We deliver personalized medicine for ALS patients,Y Combinator,S20,
HypotenuseAI,Singapore,Automatically generate copywriting for e-commerce,Y Combinator,S20,
Charityvest,"Atlanta,GA,USA","A premier charitable giving account, for everyone.",Y Combinator,S20,
KnownMedicine,"SaltLakeCity,UT,USA","Finding the best treatment for cancer patients, faster",Y Combinator,S20,
Duckly,"SanFrancisco,CA,USA",Video chat with real-time collaboration.,Y Combinator,S20,
PowerUs,"Berlin,Germany",LinkedIn for skilled blue-collar workers ,Y Combinator,S20,
CurrentFoods,"SanFrancisco,CA,USA",Impossible foods of seafood. ,Y Combinator,S20,
Novel,"Minneapolis,MN,USA",U.S. business formation for international founders,Y Combinator,S20,
Explorex,"Bengaluru,Karnataka,India",Toast for India,Y Combinator,S20,
StriveSchool,"Berlin,Germany",Training the next generation of software engineers in Europe 🇪🇺,Y Combinator,S20,
Volopay,Singapore,Brex for South East Asia - Corporate cards & automated payments.,Y Combinator,S20,
VenoStent,"Houston,TX,USA",Absorbable wrap for blood vessels,Y Combinator,S20,
JeevamHealth,"Bengaluru,Karnataka,India",Digital holistic treatment for 40M thyroid patients,Y Combinator,S20,
Queue,"Miami,FL,USA","Find, hire, and collaborate with vetted product designers.",Y Combinator,S20,
Safepay,"SanFrancisco,CA,USA",Digital payments for businesses in Pakistan,Y Combinator,S20,
Hypermile,"London,UK",AI Driver Assist For Fuel Efficiency,Y Combinator,S20,
Bento,"SanFrancisco,CA,USA",Customer onboarding as a service,Y Combinator,S20,
Seam,"SanFrancisco,CA,USA",API for IoT Devices,Y Combinator,S20,
ContaSimples,"SãoPaulo,StateofSãoPaulo,Brazil",All-in-one financial platform for latam Startups and SMBs.,Y Combinator,S20,
QuestDB,"London,UK",The fastest open source time series database,Y Combinator,S20,
shuttle,"London,UK",Deploy Rust apps with a single Cargo command,Y Combinator,S20,
Finmark,"Raleigh,NC,USA",Financial planning software for startups,Y Combinator,S20,
Dripos,"NewYork,NY,USA",The only piece of software a restaurant needs to operate.,Y Combinator,S20,
"ZitaraTechnologies,Inc.","SanFrancisco,CA,USA",Predictive battery management software for electrified fleets.,Y Combinator,S20,
Momence,"SanFrancisco,CA,USA",Scheduling and payments for experiences,Y Combinator,S20,
BlueOnionLabs,"NewYork,NY,USA",Single source of truth for a company's financial data,Y Combinator,S20,
Lightdash,"London,UK",The open source Looker alternative ,Y Combinator,S20,
Datafold,"NewYork,NY,USA",Deal with analytical data quality in the pull request,Y Combinator,S20,
inFeedo,"NewYork,NY,USA",Conversational AI to engage remote employees & predict churn/burnout,Y Combinator,S20,
BanditML,"SanFrancisco,CA,USA",Bandit ML builds machine learning tools for e-commerce companies.,Y Combinator,S20,
SuperTokens,"SanFrancisco,CA,USA",Open source alternative to Auth0 / AWS Cognito / Firebase Auth,Y Combinator,S20,
CommandBar,"SanFrancisco,CA,USA",Magical widget that makes any software way easier to use,Y Combinator,S20,
Luminai(formerlyDigitalBrain),"PaloAlto,CA,USA",We make multi-click processes one click for CX teams.,Y Combinator,S20,
LSKTechnologies,"Toronto,ON,Canada",A diagnostic lab in a box,Y Combinator,S20,
Jitsu,"SanFrancisco,CA,USA",Open-source data integration and event collection platform.,Y Combinator,S20,
Jemi,"SanFrancisco,CA,USA",Jemi helps people build beautiful websites and stores.,Y Combinator,S20,
Ukama,"Pleasanton,CA,USA",Empowering anyone to build cellular network,Y Combinator,S20,
Altro,"LosAngeles,CA,USA",Breaking the barriers of traditional credit building. ,Y Combinator,S20,
Reploy,"SanFrancisco,CA,USA","Instant, shareable staging environments",Y Combinator,S20,
Thndr,"Cairo,CairoGovernorate,Egypt",Investment platform for MENA individuals,Y Combinator,S20,
adyn,"Seattle,WA,USA",The first test designed to prevent birth control side effects,Y Combinator,S20,
twoplusfertility,Singapore,An effective home-use fertility treatment for natural conception,Y Combinator,S20,
PhotoRoom,"Paris,France",Remove background automatically and create professional images,Y Combinator,S20,
TridentBioscience,"MountainView,CA,USA",Accelerating protein engineering.,Y Combinator,S20,
Response,"SanFrancisco,CA,USA",Shop all your vendors in one place.,Y Combinator,S20,
Epihub,"NewYork,NY,USA",Epihub is Shopify for anyone teaching online 👩‍💻👨‍💻,Y Combinator,S20,
Racer,"NewYork,NY,USA",15-minute food delivery,Y Combinator,S20,
Fig,"SanFrancisco,CA,USA","Fig adds visual apps, shortcuts, and autocomplete to your terminal.",Y Combinator,S20,
Openbase,"SanFrancisco,CA,USA",We help developers choose among millions of open-source packages,Y Combinator,S20,
Basedash,"Montreal,QC,Canada",The internal tool you don't have to build,Y Combinator,S20,
Porter,"NewYork,NY,USA",Heroku in your own cloud,Y Combinator,S20,
Ladder,"Atlanta,GA,USA",Labor Marketplace for Construction,Y Combinator,S20,
2Cents,"SanFrancisco,CA,USA",Ethereum Protocol For User-Owned Internet Communities,Y Combinator,S20,
Nestybox,"SanJose,CA,USA",Enables Linux containers to act as super fast & efficient VMs,Y Combinator,S20,
Fancy,UnitedKingdom,Essentials delivered in 30 minutes.,Y Combinator,S20,
TogetherVideoChat,"Barcelona,Spain",Interactive video chat made for kids and families,Y Combinator,S20,
Drapr,"Berkeley,CA,USA",Try on clothing online,Y Combinator,S20,
Sameplan,"SanFrancisco,CA,USA",Customer-facing plans for sales teams and their prospects.,Y Combinator,S20,
Clew,"Toronto,ON,Canada",Unified file system for the cloud. ,Y Combinator,S20,
KeyDB,"Toronto,ON,Canada",The only database you'll ever need,Y Combinator,S20,
Vectrix,"SanFrancisco,CA,USA",Scan your SaaS apps and instantly identify security issues,Y Combinator,S20,
Omni,"SanFrancisco,CA,USA","Fast, up-to-date answers for Sales & Support",Y Combinator,S20,
Gather,"Cleveland,OH,USA",Project management software for People Operations,Y Combinator,S20,
Memo,"Exeter,UK",Memo is modern communication that helps you get your focus back,Y Combinator,S20,
Intelligent,"LosAltos,CA,USA",Demand Forecasting as a Service ,Y Combinator,S20,
InStock,"SantaCruz,CA,USA","Find any product, in stock nearby",Y Combinator,S20,
Nototo,"Vancouver,BC,Canada",A workspace with a spatial interface,Y Combinator,S20,
RTCanary,"SanJose,CA,USA",We are a monitoring and analytics plugin for all video chat platforms.,Y Combinator,S20,
Rume,"SanFrancisco,CA,USA",Video chat that doesn't feel like work,Y Combinator,S20,
Metamanagement,"SanFrancisco,CA,USA",We help SaaS companies deploy into their customer's environment.,Y Combinator,S20,
Overfit,"MountainView,CA,USA",Human coach for accountability + AI for personalized workouts,Y Combinator,S20,
Whatnot,"LosAngeles,CA,USA",Livestream shopping platform and marketplace.,Y Combinator,W20,
